Date,CA,CAQF,CAName,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201214,S12000049,"",Glasgow City,532454,"",Dose 2,"",0,"",0,"",0,"",0,""
20201214,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",530,"",0.190281976,"",1115,"",0.400310196,""
20201214,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,"",:,Unknown,"",z,Dose 1,"",20,"","",z,67,"","",z
20201215,"",:,Unknown,"",z,Dose 2,"",0,"","",z,0,"","",z
20201215,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",212,"",0.497722684,"",647,"",1.518993285,""
20201215,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",290,"",0.230860473,"",692,"",0.550880852,""
20201215,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000008,"",East Ayrshire,100957,"",Dose 1,"",105,"",0.104004675,"",797,"",0.789445011,""
20201215,S12000008,"",East Ayrshire,100957,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000010,"",East Lothian,87390,"",Dose 1,"",98,"",0.112140977,"",856,"",0.979517107,""
20201215,S12000010,"",East Lothian,87390,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000011,"",East Renfrewshire,76005,"",Dose 1,"",194,"",0.255246365,"",592,"",0.778896125,""
20201215,S12000011,"",East Renfrewshire,76005,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 1,"",99,"",0.440665895,"",282,"",1.255230126,""
20201215,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000014,"",Falkirk,132778,"",Dose 1,"",249,"",0.187531067,"",1887,"",1.42116917,""
20201215,S12000014,"",Falkirk,132778,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000017,"",Highland,196794,"",Dose 1,"",226,"",0.1148409,"",581,"",0.295232578,""
20201215,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000018,"",Inverclyde,65197,"",Dose 1,"",32,"",0.049082013,"",174,"",0.266883446,""
20201215,S12000018,"",Inverclyde,65197,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000019,"",Midlothian,74507,"",Dose 1,"",94,"",0.126162642,"",1108,"",1.487108594,""
20201215,S12000019,"",Midlothian,74507,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000020,"",Moray,79675,"",Dose 1,"",122,"",0.153122058,"",156,"",0.195795419,""
20201215,S12000020,"",Moray,79675,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000021,"",North Ayrshire,112272,"",Dose 1,"",129,"",0.11489953,"",706,"",0.628829984,""
20201215,S12000021,"",North Ayrshire,112272,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000023,"",Orkney Islands,18688,"",Dose 1,"",25,"",0.133775685,"",250,"",1.337756849,""
20201215,S12000023,"",Orkney Islands,18688,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000026,"",Scottish Borders,96487,"",Dose 1,"",47,"",0.048711225,"",393,"",0.407308757,""
20201215,S12000026,"",Scottish Borders,96487,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000027,"",Shetland Islands,18722,"",Dose 1,"",7,"",0.037389168,"",29,"",0.154897981,""
20201215,S12000027,"",Shetland Islands,18722,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000028,"",South Ayrshire,95002,"",Dose 1,"",178,"",0.187364477,"",738,"",0.776825751,""
20201215,S12000028,"",South Ayrshire,95002,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000029,"",South Lanarkshire,264881,"",Dose 1,"",568,"",0.214435917,"",1501,"",0.566669561,""
20201215,S12000029,"",South Lanarkshire,264881,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000030,"",Stirling,78793,"",Dose 1,"",151,"",0.191641389,"",964,"",1.223458937,""
20201215,S12000030,"",Stirling,78793,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000033,"",Aberdeen City,193247,"",Dose 1,"",475,"",0.245799417,"",944,"",0.488494,""
20201215,S12000033,"",Aberdeen City,193247,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000034,"",Aberdeenshire,212194,"",Dose 1,"",543,"",0.255897905,"",995,"",0.468910525,""
20201215,S12000034,"",Aberdeenshire,212194,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000035,"",Argyll and Bute,72964,"",Dose 1,"",161,"",0.220656762,"",273,"",0.374157119,""
20201215,S12000035,"",Argyll and Bute,72964,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000036,"",City of Edinburgh,445863,"",Dose 1,"",467,"",0.104740694,"",4611,"",1.034174175,""
20201215,S12000036,"",City of Edinburgh,445863,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000038,"",Renfrewshire,148833,"",Dose 1,"",380,"",0.255319721,"",1066,"",0.716239006,""
20201215,S12000038,"",Renfrewshire,148833,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000039,"",West Dunbartonshire,73283,"",Dose 1,"",78,"",0.106436691,"",319,"",0.435298773,""
20201215,S12000039,"",West Dunbartonshire,73283,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000040,"",West Lothian,147606,"",Dose 1,"",128,"",0.086717342,"",1923,"",1.302792569,""
20201215,S12000040,"",West Lothian,147606,"",Dose 2,"",0,"",0,"",0,"",0,""
