Date,CA,CAQF,CAName,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20210107,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 2,"",2,"",0.008902341,"",2,"",0.008902341,""
20210107,S12000014,"",Falkirk,132778,"",Dose 1,"",655,"",0.493304614,"",5102,"",3.842504029,""
20210107,S12000014,"",Falkirk,132778,"",Dose 2,"",1,"",0.000753,"",46,"",0.034644293,""
20210107,S12000017,"",Highland,196794,"",Dose 1,"",461,"",0.234255109,"",4442,"",2.257182638,""
20210107,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",1,"",0.000508,""
20210107,S12000018,"",Inverclyde,65197,"",Dose 1,"",368,"",0.564443149,"",2245,"",3.443409973,""
20210107,S12000018,"",Inverclyde,65197,"",Dose 2,"",5,"",0.007669065,"",10,"",0.015338129,""
20210107,S12000019,"",Midlothian,74507,"",Dose 1,"",344,"",0.461701585,"",3042,"",4.082837854,""
20210107,S12000019,"",Midlothian,74507,"",Dose 2,"",5,"",0.006710779,"",238,"",0.319433073,""
20210107,S12000020,"",Moray,79675,"",Dose 1,"",174,"",0.218387198,"",2534,"",3.180420458,""
20210107,S12000020,"",Moray,79675,"",Dose 2,"",0,"",0,"",1,"",0.001255099,""
20210107,S12000021,"",North Ayrshire,112272,"",Dose 1,"",33,"",0.029392903,"",3197,"",2.84754881,""
20210107,S12000021,"",North Ayrshire,112272,"",Dose 2,"",7,"",0.006234858,"",14,"",0.012469716,""
20210107,S12000023,"",Orkney Islands,18688,"",Dose 1,"",103,"",0.551155822,"",908,"",4.858732877,""
20210107,S12000023,"",Orkney Islands,18688,"",Dose 2,"",0,"",0,"",0,"",0,""
20210107,S12000026,"",Scottish Borders,96487,"",Dose 1,"",289,"",0.299522215,"",3861,"",4.001575342,""
20210107,S12000026,"",Scottish Borders,96487,"",Dose 2,"",0,"",0,"",28,"",0.029019453,""
20210107,S12000027,"",Shetland Islands,18722,"",Dose 1,"",64,"",0.34184382,"",609,"",3.252857601,""
20210107,S12000027,"",Shetland Islands,18722,"",Dose 2,"",0,"",0,"",1,"",0.00534131,""
20210107,S12000028,"",South Ayrshire,95002,"",Dose 1,"",167,"",0.175785773,"",3265,"",3.436769752,""
20210107,S12000028,"",South Ayrshire,95002,"",Dose 2,"",3,"",0.003157828,"",3,"",0.003157828,""
20210107,S12000029,"",South Lanarkshire,264881,"",Dose 1,"",609,"",0.229914565,"",9064,"",3.421913992,""
20210107,S12000029,"",South Lanarkshire,264881,"",Dose 2,"",20,"",0.00755056,"",47,"",0.017743817,""
20210107,S12000030,"",Stirling,78793,"",Dose 1,"",210,"",0.266521138,"",2767,"",3.511733276,""
20210107,S12000030,"",Stirling,78793,"",Dose 2,"",4,"",0.005076593,"",10,"",0.012691483,""
20210107,S12000033,"",Aberdeen City,193247,"",Dose 1,"",481,"",0.248904252,"",7392,"",3.825156406,""
20210107,S12000033,"",Aberdeen City,193247,"",Dose 2,"",8,"",0.00413978,"",24,"",0.012419339,""
20210107,S12000034,"",Aberdeenshire,212194,"",Dose 1,"",531,"",0.250242702,"",7917,"",3.731019727,""
20210107,S12000034,"",Aberdeenshire,212194,"",Dose 2,"",1,"",0.000471,"",10,"",0.004712669,""
20210107,S12000035,"",Argyll and Bute,72964,"",Dose 1,"",363,"",0.497505619,"",2095,"",2.871278987,""
20210107,S12000035,"",Argyll and Bute,72964,"",Dose 2,"",9,"",0.01233485,"",15,"",0.020558083,""
20210107,S12000036,"",City of Edinburgh,445863,"",Dose 1,"",788,"",0.176735903,"",12689,"",2.845941466,""
20210107,S12000036,"",City of Edinburgh,445863,"",Dose 2,"",17,"",0.00381283,"",752,"",0.168661674,""
20210107,S12000038,"",Renfrewshire,148833,"",Dose 1,"",178,"",0.119597132,"",4382,"",2.944239517,""
20210107,S12000038,"",Renfrewshire,148833,"",Dose 2,"",30,"",0.02015682,"",67,"",0.045016898,""
20210107,S12000039,"",West Dunbartonshire,73283,"",Dose 1,"",374,"",0.510350286,"",2603,"",3.551983407,""
20210107,S12000039,"",West Dunbartonshire,73283,"",Dose 2,"",70,"",0.095520107,"",164,"",0.223789965,""
20210107,S12000040,"",West Lothian,147606,"",Dose 1,"",141,"",0.095524572,"",4189,"",2.837960517,""
20210107,S12000040,"",West Lothian,147606,"",Dose 2,"",2,"",0.001354958,"",278,"",0.188339227,""
20210107,S12000041,"",Angus,97055,"",Dose 1,"",218,"",0.224614909,"",3741,"",3.854515481,""
20210107,S12000041,"",Angus,97055,"",Dose 2,"",0,"",0,"",2,"",0.002060687,""
20210107,S12000042,"",Dundee City,125276,"",Dose 1,"",510,"",0.407101121,"",5293,"",4.225071043,""
20210107,S12000042,"",Dundee City,125276,"",Dose 2,"",1,"",0.000798,"",8,"",0.0063859,""
20210107,S12000045,"",East Dunbartonshire,89242,"",Dose 1,"",161,"",0.180408328,"",3238,"",3.628336434,""
20210107,S12000045,"",East Dunbartonshire,89242,"",Dose 2,"",30,"",0.033616459,"",64,"",0.071715112,""
20210107,S12000047,"",Fife,308998,"",Dose 1,"",612,"",0.198059534,"",10285,"",3.328500508,""
20210107,S12000047,"",Fife,308998,"",Dose 2,"",1,"",0.000324,"",37,"",0.011974188,""
20210107,S12000048,"",Perth and Kinross,127529,"",Dose 1,"",350,"",0.274447381,"",4744,"",3.71993821,""
20210107,S12000048,"",Perth and Kinross,127529,"",Dose 2,"",0,"",0,"",7,"",0.005488948,""
20210107,S12000049,"",Glasgow City,532454,"",Dose 1,"",1007,"",0.189124319,"",12670,"",2.37954828,""
20210107,S12000049,"",Glasgow City,532454,"",Dose 2,"",63,"",0.011832008,"",144,"",0.02704459,""
20210107,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",492,"",0.176639118,"",8653,"",3.106622531,""
20210107,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",20,"",0.007180452,"",58,"",0.020823311,""
20210108,"",:,Unknown,"",z,Dose 1,"",37,"","",z,446,"","",z
20210108,"",:,Unknown,"",z,Dose 2,"",2,"","",z,7,"","",z
20210108,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",54,"",0.126778419,"",1596,"",3.747006621,""
20210108,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",2,"",0.004695497,""
20210108,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",325,"",0.258722944,"",4606,"",3.666701163,""
20210108,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",1,"",0.000796,"",6,"",0.004776424,""
20210108,S12000008,"",East Ayrshire,100957,"",Dose 1,"",92,"",0.091127906,"",3211,"",3.180562021,""
20210108,S12000008,"",East Ayrshire,100957,"",Dose 2,"",3,"",0.002971562,"",10,"",0.009905207,""
20210108,S12000010,"",East Lothian,87390,"",Dose 1,"",328,"",0.375328985,"",3172,"",3.629705916,""
20210108,S12000010,"",East Lothian,87390,"",Dose 2,"",4,"",0.004577183,"",188,"",0.215127589,""
20210108,S12000011,"",East Renfrewshire,76005,"",Dose 1,"",140,"",0.184198408,"",2904,"",3.820801263,""
20210108,S12000011,"",East Renfrewshire,76005,"",Dose 2,"",13,"",0.017104138,"",33,"",0.043418196,""
20210108,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 1,"",204,"",0.908038814,"",1459,"",6.49425799,""
20210108,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 2,"",0,"",0,"",2,"",0.008902341,""
20210108,S12000014,"",Falkirk,132778,"",Dose 1,"",201,"",0.1513805,"",5303,"",3.993884529,""
20210108,S12000014,"",Falkirk,132778,"",Dose 2,"",4,"",0.003012547,"",50,"",0.037656841,""
20210108,S12000017,"",Highland,196794,"",Dose 1,"",373,"",0.189538299,"",4815,"",2.446720937,""
20210108,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",1,"",0.000508,""
20210108,S12000018,"",Inverclyde,65197,"",Dose 1,"",108,"",0.165651794,"",2353,"",3.609061767,""
20210108,S12000018,"",Inverclyde,65197,"",Dose 2,"",9,"",0.013804316,"",19,"",0.029142445,""
20210108,S12000019,"",Midlothian,74507,"",Dose 1,"",289,"",0.387883018,"",3331,"",4.470720872,""
20210108,S12000019,"",Midlothian,74507,"",Dose 2,"",8,"",0.010737246,"",246,"",0.33017032,""
20210108,S12000020,"",Moray,79675,"",Dose 1,"",287,"",0.360213367,"",2821,"",3.540633825,""
20210108,S12000020,"",Moray,79675,"",Dose 2,"",1,"",0.001255099,"",2,"",0.002510198,""
20210108,S12000021,"",North Ayrshire,112272,"",Dose 1,"",238,"",0.211985179,"",3435,"",3.059533989,""
20210108,S12000021,"",North Ayrshire,112272,"",Dose 2,"",4,"",0.003562776,"",18,"",0.016032493,""
20210108,S12000023,"",Orkney Islands,18688,"",Dose 1,"",65,"",0.347816781,"",973,"",5.206549658,""
20210108,S12000023,"",Orkney Islands,18688,"",Dose 2,"",2,"",0.010702055,"",2,"",0.010702055,""
20210108,S12000026,"",Scottish Borders,96487,"",Dose 1,"",528,"",0.547223978,"",4389,"",4.54879932,""
20210108,S12000026,"",Scottish Borders,96487,"",Dose 2,"",1,"",0.001036409,"",29,"",0.030055862,""
20210108,S12000027,"",Shetland Islands,18722,"",Dose 1,"",59,"",0.315137272,"",668,"",3.567994872,""
20210108,S12000027,"",Shetland Islands,18722,"",Dose 2,"",0,"",0,"",1,"",0.00534131,""
20210108,S12000028,"",South Ayrshire,95002,"",Dose 1,"",78,"",0.082103535,"",3343,"",3.518873287,""
20210108,S12000028,"",South Ayrshire,95002,"",Dose 2,"",1,"",0.001052609,"",4,"",0.004210438,""
20210108,S12000029,"",South Lanarkshire,264881,"",Dose 1,"",582,"",0.219721309,"",9646,"",3.6416353,""
20210108,S12000029,"",South Lanarkshire,264881,"",Dose 2,"",15,"",0.00566292,"",62,"",0.023406737,""
20210108,S12000030,"",Stirling,78793,"",Dose 1,"",117,"",0.148490348,"",2884,"",3.660223624,""
20210108,S12000030,"",Stirling,78793,"",Dose 2,"",5,"",0.006345741,"",15,"",0.019037224,""
20210108,S12000033,"",Aberdeen City,193247,"",Dose 1,"",472,"",0.244247,"",7864,"",4.069403406,""
20210108,S12000033,"",Aberdeen City,193247,"",Dose 2,"",8,"",0.00413978,"",32,"",0.016559119,""
20210108,S12000034,"",Aberdeenshire,212194,"",Dose 1,"",466,"",0.219610357,"",8383,"",3.950630084,""
20210108,S12000034,"",Aberdeenshire,212194,"",Dose 2,"",2,"",0.000943,"",12,"",0.005655202,""
20210108,S12000035,"",Argyll and Bute,72964,"",Dose 1,"",326,"",0.44679568,"",2421,"",3.318074667,""
20210108,S12000035,"",Argyll and Bute,72964,"",Dose 2,"",17,"",0.023299161,"",32,"",0.043857245,""
20210108,S12000036,"",City of Edinburgh,445863,"",Dose 1,"",664,"",0.14892467,"",13353,"",2.994866136,""
20210108,S12000036,"",City of Edinburgh,445863,"",Dose 2,"",30,"",0.006728524,"",782,"",0.175390198,""
20210108,S12000038,"",Renfrewshire,148833,"",Dose 1,"",199,"",0.133706906,"",4581,"",3.077946423,""
20210108,S12000038,"",Renfrewshire,148833,"",Dose 2,"",40,"",0.02687576,"",107,"",0.071892658,""
20210108,S12000039,"",West Dunbartonshire,73283,"",Dose 1,"",235,"",0.320674645,"",2838,"",3.872658052,""
20210108,S12000039,"",West Dunbartonshire,73283,"",Dose 2,"",66,"",0.090061815,"",230,"",0.31385178,""
20210108,S12000040,"",West Lothian,147606,"",Dose 1,"",310,"",0.210018563,"",4499,"",3.047979079,""
20210108,S12000040,"",West Lothian,147606,"",Dose 2,"",27,"",0.018291939,"",305,"",0.206631167,""
20210108,S12000041,"",Angus,97055,"",Dose 1,"",178,"",0.183401164,"",3919,"",4.037916645,""
20210108,S12000041,"",Angus,97055,"",Dose 2,"",1,"",0.001030344,"",3,"",0.003091031,""
20210108,S12000042,"",Dundee City,125276,"",Dose 1,"",461,"",0.367987484,"",5754,"",4.593058527,""
20210108,S12000042,"",Dundee City,125276,"",Dose 2,"",1,"",0.000798,"",9,"",0.007184137,""
20210108,S12000045,"",East Dunbartonshire,89242,"",Dose 1,"",351,"",0.393312566,"",3589,"",4.021648999,""
20210108,S12000045,"",East Dunbartonshire,89242,"",Dose 2,"",26,"",0.029134264,"",90,"",0.100849376,""
20210108,S12000047,"",Fife,308998,"",Dose 1,"",965,"",0.312299756,"",11250,"",3.640800264,""
20210108,S12000047,"",Fife,308998,"",Dose 2,"",3,"",0.000971,"",40,"",0.012945068,""
20210108,S12000048,"",Perth and Kinross,127529,"",Dose 1,"",389,"",0.30502866,"",5133,"",4.02496687,""
20210108,S12000048,"",Perth and Kinross,127529,"",Dose 2,"",1,"",0.000784,"",8,"",0.006273083,""
20210108,S12000049,"",Glasgow City,532454,"",Dose 1,"",1567,"",0.294297723,"",14237,"",2.673846004,""
20210108,S12000049,"",Glasgow City,532454,"",Dose 2,"",69,"",0.012958866,"",213,"",0.040003456,""
20210108,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",687,"",0.246648524,"",9340,"",3.353271055,""
20210108,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",16,"",0.005744362,"",74,"",0.026567672,""
20210109,"",:,Unknown,"",z,Dose 1,"",11,"","",z,457,"","",z
20210109,"",:,Unknown,"",z,Dose 2,"",0,"","",z,7,"","",z
20210109,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",44,"",0.103300934,"",1640,"",3.850307555,""
20210109,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",2,"",0.004695497,""
20210109,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",4,"",0.003184282,"",4610,"",3.669885445,""
20210109,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",0,"",0,"",6,"",0.004776424,""
20210109,S12000008,"",East Ayrshire,100957,"",Dose 1,"",238,"",0.235743931,"",3449,"",3.416305952,""
20210109,S12000008,"",East Ayrshire,100957,"",Dose 2,"",1,"",0.000991,"",11,"",0.010895728,""
20210109,S12000010,"",East Lothian,87390,"",Dose 1,"",337,"",0.385627646,"",3509,"",4.015333562,""
20210109,S12000010,"",East Lothian,87390,"",Dose 2,"",1,"",0.001144296,"",189,"",0.216271885,""
20210109,S12000011,"",East Renfrewshire,76005,"",Dose 1,"",192,"",0.25261496,"",3096,"",4.073416223,""
20210109,S12000011,"",East Renfrewshire,76005,"",Dose 2,"",11,"",0.014472732,"",44,"",0.057890928,""
20210109,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 1,"",69,"",0.307130775,"",1528,"",6.801388765,""
20210109,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 2,"",0,"",0,"",2,"",0.008902341,""
20210109,S12000014,"",Falkirk,132778,"",Dose 1,"",183,"",0.137824037,"",5486,"",4.131708566,""
20210109,S12000014,"",Falkirk,132778,"",Dose 2,"",3,"",0.00225941,"",53,"",0.039916251,""
20210109,S12000017,"",Highland,196794,"",Dose 1,"",12,"",0.006097747,"",4827,"",2.452818683,""
20210109,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",1,"",0.000508,""
20210109,S12000018,"",Inverclyde,65197,"",Dose 1,"",81,"",0.124238845,"",2434,"",3.733300612,""
20210109,S12000018,"",Inverclyde,65197,"",Dose 2,"",10,"",0.015338129,"",29,"",0.044480574,""
20210109,S12000019,"",Midlothian,74507,"",Dose 1,"",57,"",0.076502879,"",3388,"",4.547223751,""
20210109,S12000019,"",Midlothian,74507,"",Dose 2,"",1,"",0.001342156,"",247,"",0.331512475,""
20210109,S12000020,"",Moray,79675,"",Dose 1,"",4,"",0.005020395,"",2825,"",3.54565422,""
20210109,S12000020,"",Moray,79675,"",Dose 2,"",0,"",0,"",2,"",0.002510198,""
20210109,S12000021,"",North Ayrshire,112272,"",Dose 1,"",35,"",0.031174291,"",3470,"",3.09070828,""
20210109,S12000021,"",North Ayrshire,112272,"",Dose 2,"",2,"",0.001781388,"",20,"",0.017813881,""
20210109,S12000023,"",Orkney Islands,18688,"",Dose 1,"",0,"",0,"",973,"",5.206549658,""
20210109,S12000023,"",Orkney Islands,18688,"",Dose 2,"",0,"",0,"",2,"",0.010702055,""
20210109,S12000026,"",Scottish Borders,96487,"",Dose 1,"",460,"",0.476748163,"",4849,"",5.025547483,""
20210109,S12000026,"",Scottish Borders,96487,"",Dose 2,"",0,"",0,"",29,"",0.030055862,""
20210109,S12000027,"",Shetland Islands,18722,"",Dose 1,"",1,"",0.00534131,"",669,"",3.573336182,""
20210109,S12000027,"",Shetland Islands,18722,"",Dose 2,"",0,"",0,"",1,"",0.00534131,""
20210109,S12000028,"",South Ayrshire,95002,"",Dose 1,"",5,"",0.005263047,"",3348,"",3.524136334,""
20210109,S12000028,"",South Ayrshire,95002,"",Dose 2,"",0,"",0,"",4,"",0.004210438,""
20210109,S12000029,"",South Lanarkshire,264881,"",Dose 1,"",164,"",0.061914596,"",9810,"",3.703549896,""
20210109,S12000029,"",South Lanarkshire,264881,"",Dose 2,"",9,"",0.003397752,"",71,"",0.02680449,""
20210109,S12000030,"",Stirling,78793,"",Dose 1,"",79,"",0.100262714,"",2963,"",3.760486338,""
20210109,S12000030,"",Stirling,78793,"",Dose 2,"",2,"",0.002538297,"",17,"",0.021575521,""
20210109,S12000033,"",Aberdeen City,193247,"",Dose 1,"",83,"",0.042950214,"",7947,"",4.11235362,""
20210109,S12000033,"",Aberdeen City,193247,"",Dose 2,"",0,"",0,"",32,"",0.016559119,""
20210109,S12000034,"",Aberdeenshire,212194,"",Dose 1,"",320,"",0.150805395,"",8703,"",4.101435479,""
20210109,S12000034,"",Aberdeenshire,212194,"",Dose 2,"",0,"",0,"",12,"",0.005655202,""
20210109,S12000035,"",Argyll and Bute,72964,"",Dose 1,"",19,"",0.026040239,"",2440,"",3.344114906,""
20210109,S12000035,"",Argyll and Bute,72964,"",Dose 2,"",6,"",0.008223233,"",38,"",0.052080478,""
20210109,S12000036,"",City of Edinburgh,445863,"",Dose 1,"",540,"",0.121113436,"",13893,"",3.115979572,""
20210109,S12000036,"",City of Edinburgh,445863,"",Dose 2,"",27,"",0.006055672,"",809,"",0.18144587,""
20210109,S12000038,"",Renfrewshire,148833,"",Dose 1,"",405,"",0.272117071,"",4986,"",3.350063494,""
20210109,S12000038,"",Renfrewshire,148833,"",Dose 2,"",21,"",0.014109774,"",128,"",0.086002432,""
20210109,S12000039,"",West Dunbartonshire,73283,"",Dose 1,"",249,"",0.339778666,"",3087,"",4.212436718,""
20210109,S12000039,"",West Dunbartonshire,73283,"",Dose 2,"",49,"",0.066864075,"",279,"",0.380715855,""
20210109,S12000040,"",West Lothian,147606,"",Dose 1,"",22,"",0.014904543,"",4521,"",3.062883623,""
20210109,S12000040,"",West Lothian,147606,"",Dose 2,"",1,"",0.000677,"",306,"",0.207308646,""
20210109,S12000041,"",Angus,97055,"",Dose 1,"",228,"",0.234918345,"",4147,"",4.27283499,""
20210109,S12000041,"",Angus,97055,"",Dose 2,"",0,"",0,"",3,"",0.003091031,""
20210109,S12000042,"",Dundee City,125276,"",Dose 1,"",483,"",0.385548708,"",6237,"",4.978607235,""
20210109,S12000042,"",Dundee City,125276,"",Dose 2,"",0,"",0,"",9,"",0.007184137,""
20210109,S12000045,"",East Dunbartonshire,89242,"",Dose 1,"",396,"",0.443737254,"",3985,"",4.465386253,""
20210109,S12000045,"",East Dunbartonshire,89242,"",Dose 2,"",17,"",0.019049327,"",107,"",0.119898702,""
20210109,S12000047,"",Fife,308998,"",Dose 1,"",123,"",0.039806083,"",11373,"",3.680606347,""
20210109,S12000047,"",Fife,308998,"",Dose 2,"",4,"",0.001294507,"",44,"",0.014239574,""
20210109,S12000048,"",Perth and Kinross,127529,"",Dose 1,"",329,"",0.257980538,"",5462,"",4.282947408,""
20210109,S12000048,"",Perth and Kinross,127529,"",Dose 2,"",0,"",0,"",8,"",0.006273083,""
20210109,S12000049,"",Glasgow City,532454,"",Dose 1,"",1210,"",0.227249678,"",15447,"",2.901095682,""
20210109,S12000049,"",Glasgow City,532454,"",Dose 2,"",52,"",0.009766102,"",265,"",0.049769558,""
20210109,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",133,"",0.047750005,"",9473,"",3.40102106,""
20210109,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",12,"",0.004308271,"",86,"",0.030875943,""
20210110,"",:,Unknown,"",z,Dose 1,"",6,"","",z,463,"","",z
20210110,"",:,Unknown,"",z,Dose 2,"",0,"","",z,7,"","",z
20210110,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",16,"",0.037563976,"",1656,"",3.887871531,""
20210110,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",2,"",0.004695497,""
20210110,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",2,"",0.001592141,"",4612,"",3.671477587,""
20210110,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",0,"",0,"",6,"",0.004776424,""
20210110,S12000008,"",East Ayrshire,100957,"",Dose 1,"",28,"",0.02773458,"",3477,"",3.444040532,""
20210110,S12000008,"",East Ayrshire,100957,"",Dose 2,"",1,"",0.000991,"",12,"",0.011886249,""
20210110,S12000010,"",East Lothian,87390,"",Dose 1,"",8,"",0.009154365,"",3517,"",4.024487928,""
20210110,S12000010,"",East Lothian,87390,"",Dose 2,"",0,"",0,"",189,"",0.216271885,""
20210110,S12000011,"",East Renfrewshire,76005,"",Dose 1,"",143,"",0.188145517,"",3239,"",4.261561739,""
20210110,S12000011,"",East Renfrewshire,76005,"",Dose 2,"",1,"",0.001315703,"",45,"",0.059206631,""
20210110,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 1,"",0,"",0,"",1528,"",6.801388765,""
20210110,S12000013,"",Na h-Eileanan Siar,22466,"",Dose 2,"",0,"",0,"",2,"",0.008902341,""
20210110,S12000014,"",Falkirk,132778,"",Dose 1,"",89,"",0.067029177,"",5575,"",4.198737743,""
20210110,S12000014,"",Falkirk,132778,"",Dose 2,"",0,"",0,"",53,"",0.039916251,""
20210110,S12000017,"",Highland,196794,"",Dose 1,"",1,"",0.000508,"",4828,"",2.453326829,""
20210110,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",1,"",0.000508,""
20210110,S12000018,"",Inverclyde,65197,"",Dose 1,"",35,"",0.053683452,"",2469,"",3.786984064,""
20210110,S12000018,"",Inverclyde,65197,"",Dose 2,"",0,"",0,"",29,"",0.044480574,""
20210110,S12000019,"",Midlothian,74507,"",Dose 1,"",8,"",0.010737246,"",3396,"",4.557960997,""
20210110,S12000019,"",Midlothian,74507,"",Dose 2,"",0,"",0,"",247,"",0.331512475,""
20210110,S12000020,"",Moray,79675,"",Dose 1,"",0,"",0,"",2825,"",3.54565422,""
20210110,S12000020,"",Moray,79675,"",Dose 2,"",0,"",0,"",2,"",0.002510198,""
20210110,S12000021,"",North Ayrshire,112272,"",Dose 1,"",16,"",0.014251104,"",3486,"",3.104959384,""
20210110,S12000021,"",North Ayrshire,112272,"",Dose 2,"",0,"",0,"",20,"",0.017813881,""
20210110,S12000023,"",Orkney Islands,18688,"",Dose 1,"",0,"",0,"",973,"",5.206549658,""
20210110,S12000023,"",Orkney Islands,18688,"",Dose 2,"",0,"",0,"",2,"",0.010702055,""
20210110,S12000026,"",Scottish Borders,96487,"",Dose 1,"",406,"",0.420782074,"",5255,"",5.446329557,""
20210110,S12000026,"",Scottish Borders,96487,"",Dose 2,"",0,"",0,"",29,"",0.030055862,""
20210110,S12000027,"",Shetland Islands,18722,"",Dose 1,"",0,"",0,"",669,"",3.573336182,""
20210110,S12000027,"",Shetland Islands,18722,"",Dose 2,"",0,"",0,"",1,"",0.00534131,""
20210110,S12000028,"",South Ayrshire,95002,"",Dose 1,"",162,"",0.170522726,"",3510,"",3.69465906,""
20210110,S12000028,"",South Ayrshire,95002,"",Dose 2,"",0,"",0,"",4,"",0.004210438,""
20210110,S12000029,"",South Lanarkshire,264881,"",Dose 1,"",84,"",0.031712354,"",9894,"",3.73526225,""
20210110,S12000029,"",South Lanarkshire,264881,"",Dose 2,"",0,"",0,"",71,"",0.02680449,""
20210110,S12000030,"",Stirling,78793,"",Dose 1,"",36,"",0.045689338,"",2999,"",3.806175676,""
20210110,S12000030,"",Stirling,78793,"",Dose 2,"",1,"",0.001269148,"",18,"",0.022844669,""
20210110,S12000033,"",Aberdeen City,193247,"",Dose 1,"",2,"",0.001034945,"",7949,"",4.113388565,""
20210110,S12000033,"",Aberdeen City,193247,"",Dose 2,"",0,"",0,"",32,"",0.016559119,""
20210110,S12000034,"",Aberdeenshire,212194,"",Dose 1,"",3,"",0.001413801,"",8706,"",4.102849279,""
20210110,S12000034,"",Aberdeenshire,212194,"",Dose 2,"",0,"",0,"",12,"",0.005655202,""
20210110,S12000035,"",Argyll and Bute,72964,"",Dose 1,"",3,"",0.004111617,"",2443,"",3.348226523,""
20210110,S12000035,"",Argyll and Bute,72964,"",Dose 2,"",0,"",0,"",38,"",0.052080478,""
20210110,S12000036,"",City of Edinburgh,445863,"",Dose 1,"",172,"",0.038576872,"",14065,"",3.154556444,""
20210110,S12000036,"",City of Edinburgh,445863,"",Dose 2,"",1,"",0.000224,"",810,"",0.181670154,""
20210110,S12000038,"",Renfrewshire,148833,"",Dose 1,"",387,"",0.260022979,"",5373,"",3.610086473,""
20210110,S12000038,"",Renfrewshire,148833,"",Dose 2,"",0,"",0,"",128,"",0.086002432,""
20210110,S12000039,"",West Dunbartonshire,73283,"",Dose 1,"",28,"",0.038208043,"",3115,"",4.250644761,""
20210110,S12000039,"",West Dunbartonshire,73283,"",Dose 2,"",2,"",0.002729146,"",281,"",0.383445001,""
20210110,S12000040,"",West Lothian,147606,"",Dose 1,"",117,"",0.079265071,"",4638,"",3.142148693,""
20210110,S12000040,"",West Lothian,147606,"",Dose 2,"",0,"",0,"",306,"",0.207308646,""
20210110,S12000041,"",Angus,97055,"",Dose 1,"",97,"",0.099943331,"",4244,"",4.372778322,""
20210110,S12000041,"",Angus,97055,"",Dose 2,"",0,"",0,"",3,"",0.003091031,""
20210110,S12000042,"",Dundee City,125276,"",Dose 1,"",173,"",0.138095086,"",6410,"",5.116702321,""
20210110,S12000042,"",Dundee City,125276,"",Dose 2,"",0,"",0,"",9,"",0.007184137,""
20210110,S12000045,"",East Dunbartonshire,89242,"",Dose 1,"",100,"",0.112054862,"",4085,"",4.577441115,""
20210110,S12000045,"",East Dunbartonshire,89242,"",Dose 2,"",0,"",0,"",107,"",0.119898702,""
20210110,S12000047,"",Fife,308998,"",Dose 1,"",27,"",0.008737921,"",11400,"",3.689344268,""
20210110,S12000047,"",Fife,308998,"",Dose 2,"",0,"",0,"",44,"",0.014239574,""
20210110,S12000048,"",Perth and Kinross,127529,"",Dose 1,"",88,"",0.069003913,"",5550,"",4.351951321,""
20210110,S12000048,"",Perth and Kinross,127529,"",Dose 2,"",0,"",0,"",8,"",0.006273083,""
20210110,S12000049,"",Glasgow City,532454,"",Dose 1,"",495,"",0.092965777,"",15942,"",2.994061459,""
20210110,S12000049,"",Glasgow City,532454,"",Dose 2,"",1,"",0.000188,"",266,"",0.049957367,""
20210110,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",70,"",0.025131582,"",9543,"",3.426152642,""
20210110,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",1,"",0.000359,"",87,"",0.031234966,""
20210111,"",:,Unknown,"",z,Dose 1,"",18,"","",z,481,"","",z
20210111,"",:,Unknown,"",z,Dose 2,"",0,"","",z,7,"","",z
20210111,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",50,"",0.117387425,"",1706,"",4.005258957,""
